,0
recent_format_caps_1y,0.32659211504066604
recent_caps_1y,0.14619008466212927
career_caps,0.10063817405652965
recent_bat_avg_1y,0.09322240094522885
recent_bat_sr_1y,0.07128577804399634
recent_bowl_econ_1y,0.056786501860846654
recent_wickets_1y,0.05231426999851651
fmt_TEST,0.021499353993063897
fmt_T20I,0.01214630532548763
fmt_ODI,0.010842265019744519
is_finger_spinner,0.009220106407921999
is_top_order,0.00879215266268045
coach_Rahul Dravid,0.00878072755546659
is_middle_order,0.008003071124252968
is_lhb,0.007857984560649685
coach_Duncan Fletcher,0.007166404510182641
coach_Ravi Shastri (Head Coach),0.0069835513446343585
is_home,0.006819443263912498
is_sena,0.006094173662765471
coach_Gary Kirsten,0.00597668777063508
coach_Gautam Gambhir,0.0057828299816555595
is_wrist_spinner,0.005264265910185303
is_spec_pace,0.004214334071132982
is_spin_ar,0.0035872031368745882
is_wk,0.0033355445568777346
is_spec_spin,0.0031131489927612717
is_left_arm_pacer,0.00278351017664019
coach_Anil Kumble,0.0023768788962977754
is_pace_ar,0.0023307324682635623
